mes,arena_t,agua_m3,etapas,pozos
2022-10,179989,1230556,819,17
2022-11,210186,1121302,940,21
2022-12,500483,1982739,1455,37
2023-01,173442,1012809,748,18
2023-02,173943,1112068,745,17
2023-03,187077,1346141,857,18
2023-04,94505,777306,503,11
2023-05,229209,1350001,967,20
2023-06,366426,2388039,1617,37
2023-07,184571,1250156,792,18
2023-08,222374,1645180,979,23
2023-09,255502,1593591,1098,24
2023-10,174128,988851,738,16
2023-11,366844,2372931,1599,35
2023-12,368309,2450794,1566,36
2024-01,239895,1694013,1049,22
2024-02,232109,1399956,984,27
2024-03,388850,2461057,1636,38
2024-04,251857,1455385,1079,24
2024-05,342288,2297410,1516,31
2024-06,251435,1545224,1073,22
2024-07,343551,2123939,1429,32
2024-08,279892,1686965,1193,22
2024-09,304676,1800191,1269,26
2024-10,264878,1504647,1091,27
2024-11,268863,1635392,1110,25
2024-12,131027,540586,567,10
2025-01,423070,2835041,1809,34
2025-02,350842,2276644,1506,36
2025-03,270046,1752334,1157,24
2025-04,407572,2667977,1776,36
2025-05,499156,2931289,2173,42
2025-06,309895,2079218,1432,28
2025-07,370964,2397204,1589,29
2025-08,411162,2617572,1807,34
2025-09,110115,646543,478,9
